gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
ASCC1,0.016606,0.041496,0.061488,0.4433
AC136428.3-1,0.023110,0.040560,0.061393,0.5433
AC136428.3-2,0.023110,0.040560,0.061393,0.5433
OR4P4,0.036136,0.041482,0.061218,0.2783
OR4S2,0.036136,0.041482,0.061218,0.2783
OR4C11,0.036136,0.041482,0.061218,0.2783
OR4C6,0.036136,0.041482,0.061218,0.2783
RPS8P10,0.036983,0.061169,0.047073,0.3000
PCDH11X,0.060939,0.060598,0.056376,0.3067
SCARNA21,0.060786,0.036636,0.041299,0.4317
KREMEN1,0.016761,0.060774,0.055441,0.4050
NOL4,0.017546,0.060499,0.047111,0.3683
PEX5L,0.050231,0.036084,0.060457,0.4017
SNORD59,0.026990,0.050110,0.060396,0.6233
SNORA46,0.025948,0.060069,0.036472,0.4850
WWOX,0.012467,0.054098,0.059974,0.3283
PDPR,0.016443,0.059908,0.059117,0.1933
YEATS2,0.059773,0.037906,0.051295,0.5033
NARS2,0.028140,0.037775,0.059764,0.1867
GPR25,0.019801,0.059758,0.053104,0.2583
RPL34P1,0.019801,0.059758,0.053104,0.2583
CDH13,0.014805,0.045520,0.059621,0.1967
SNORD91,0.059342,0.020837,0.040666,0.1017
NRG1,0.034115,0.059229,0.053291,0.3183
SNORA1,0.057096,0.044738,0.059181,0.6550
AC004741.2,0.058995,0.025799,0.039582,0.2483
MPPED1,0.021750,0.058954,0.038948,0.4000
Z97055.1,0.021750,0.058954,0.038948,0.4000
EFCAB6,0.021750,0.058954,0.038948,0.4000
SCUBE1,0.021750,0.058954,0.038948,0.4000
PNPLA5,0.021750,0.058954,0.038948,0.4000
SULT4A1,0.021750,0.058954,0.038948,0.4000
AC009053.7-2,0.007193,0.058867,0.055585,0.2383
NPIPL2,0.007193,0.058867,0.055585,0.2383
CLEC18B,0.007193,0.058867,0.055585,0.2383
KPNB1,0.058261,0.022074,0.038307,0.1683
AL035464.20,0.006359,0.049334,0.058041,0.5217
KCNK5,0.006359,0.049334,0.058041,0.5217
KCNK16,0.006359,0.049334,0.058041,0.5217
RP5-1043E3.1,0.006359,0.049334,0.058041,0.5217
KCNK17,0.006359,0.049334,0.058041,0.5217
RP1-137F1.3,0.006359,0.049334,0.058041,0.5217
GNAS,0.058007,0.019780,0.032906,0.2667
INTS4,0.032305,0.040509,0.058007,0.3683
LTK,0.025945,0.035206,0.057991,0.1633
SNORD66,0.045815,0.049213,0.057920,0.4083
CPD,0.057819,0.019917,0.038080,0.2900
SNORA77,0.039892,0.057814,0.052610,0.5100
TTC28,0.019067,0.050304,0.057787,0.4050
SNORA30,0.028857,0.057643,0.045520,0.2617
RAP1B,0.014079,0.055646,0.057595,0.3933
CSNK2A2,0.009860,0.057432,0.045403,0.4850
PDXDC2,0.015845,0.057287,0.036121,0.0933
C20orf133,0.014646,0.040612,0.057278,0.2317
SNORA27,0.042130,0.057213,0.046045,0.5250
EPB41L2,0.057189,0.044179,0.009782,0.3533
RALGPS1,0.056950,0.053613,0.025110,0.2483
CPE,0.018731,0.049832,0.056849,0.5900
RP5-1017O19.1,0.045786,0.023038,0.056569,0.1400
RP11-292O17.1,0.045786,0.023038,0.056569,0.1400
SNORA9,0.028962,0.048833,0.056450,0.3550
OR4Q3,0.044719,0.028725,0.056325,0.1617
OR4M1,0.044719,0.028725,0.056325,0.1617
OR4H12P,0.044719,0.028725,0.056325,0.1617
SPN,0.012251,0.056105,0.031556,0.2467
SUMF1,0.027005,0.046203,0.056072,0.1633
TPPP,0.056052,0.024841,0.025444,0.6233
GOSR1,0.055899,0.018899,0.039946,0.3167
USP10,0.012117,0.039108,0.055892,0.2133
SHOX,0.010475,0.039319,0.055738,0.0850
RP1-59B16.1,0.021672,0.055622,0.039093,0.2700
RP11-440J4.1,0.021672,0.055622,0.039093,0.2700
RP11-31K13.1,0.021672,0.055622,0.039093,0.2700
AL590231.8,0.021672,0.055622,0.039093,0.2700
RP11-108N13.1,0.021672,0.055622,0.039093,0.2700
RP11-524C21.1,0.021672,0.055622,0.039093,0.2700
PRL,0.021672,0.055622,0.039093,0.2700
HDGFL1,0.021672,0.055622,0.039093,0.2700
RP4-810F7.1,0.021672,0.055622,0.039093,0.2700
AL033539.18,0.021672,0.055622,0.039093,0.2700
WNT3,0.055500,0.021580,0.031090,0.7133
MUC4,0.038697,0.015980,0.055495,0.3317
ORAOV1,0.036025,0.019256,0.055434,0.3900
SNORD77,0.029952,0.040846,0.055395,0.1583
NAALADL2,0.028614,0.009918,0.055321,0.2500
KIAA0556,0.020968,0.054991,0.030827,0.4600
CCDC101,0.025075,0.054924,0.028418,0.4600
C3orf41,0.018276,0.046812,0.054869,0.6733
DLGAP5,0.014281,0.043441,0.054848,0.4867
RUNX1,0.054772,0.044396,0.041883,0.5317
IL26,0.006543,0.054560,0.046922,0.2717
IFNG,0.006543,0.054560,0.046922,0.2717
DYRK2,0.006543,0.054560,0.046922,0.2717
IL22,0.006543,0.054560,0.046922,0.2717
AC078983.17,0.006543,0.054560,0.046922,0.2717
