gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
ZNF641,0.014989,0.043118,0.032174,0.2283
RND1,0.014989,0.043118,0.032174,0.2283
OR8S1,0.014989,0.043118,0.032174,0.2283
SENP1,0.014989,0.043118,0.032174,0.2283
RPAP3,0.014989,0.043118,0.032174,0.2283
SLC48A1,0.014989,0.043118,0.032174,0.2283
FKBP11,0.014989,0.043118,0.032174,0.2283
ADCY6,0.014989,0.043118,0.032174,0.2283
CCDC65,0.014989,0.043118,0.032174,0.2283
C12orf54,0.014989,0.043118,0.032174,0.2283
C12orf68,0.014989,0.043118,0.032174,0.2283
VDR,0.014989,0.043118,0.032174,0.2283
AC121338.6,0.014989,0.043118,0.032174,0.2283
hsa-mir-1291,0.014989,0.043118,0.032174,0.2283
ANP32D,0.014989,0.043118,0.032174,0.2283
AC008083.23-1,0.014989,0.043118,0.032174,0.2283
PFKM,0.014989,0.043118,0.032174,0.2283
ASB8,0.014989,0.043118,0.032174,0.2283
RAPGEF3,0.014989,0.043118,0.032174,0.2283
AC004241.2,0.014989,0.043118,0.032174,0.2283
HDAC7,0.014989,0.043118,0.032174,0.2283
COL2A1,0.014989,0.043118,0.032174,0.2283
OR10AD1,0.014989,0.043118,0.032174,0.2283
AC089987.26-2,0.014989,0.043118,0.032174,0.2283
TMEM106C,0.014989,0.043118,0.032174,0.2283
DDX23,0.014989,0.043118,0.032174,0.2283
CCNT1,0.014989,0.043118,0.032174,0.2283
FAM113B,0.014989,0.043118,0.032174,0.2283
H1FNT,0.014989,0.043118,0.032174,0.2283
AC089987.26-1,0.014989,0.043118,0.032174,0.2283
CACNB3,0.014989,0.043118,0.032174,0.2283
EYS,0.011782,0.043109,0.031894,0.3067
AL365217.10-2,0.011782,0.043109,0.031894,0.3067
AL365217.10-1,0.011782,0.043109,0.031894,0.3067
HSD17B1,0.043067,0.012524,0.028304,0.4000
TUBG1,0.043067,0.012524,0.028304,0.4000
PSMC3IP,0.043067,0.012524,0.028304,0.4000
HSD17BP1,0.043067,0.012524,0.028304,0.4000
AC105024.8,0.043067,0.012524,0.028304,0.4000
DHX58,0.043067,0.012524,0.028304,0.4000
PTRF,0.043067,0.012524,0.028304,0.4000
ZNF385C,0.043067,0.012524,0.028304,0.4000
MLX,0.043067,0.012524,0.028304,0.4000
NKIRAS2,0.043067,0.012524,0.028304,0.4000
AC107993.9,0.043067,0.012524,0.028304,0.4000
COASY,0.043067,0.012524,0.028304,0.4000
HCRT,0.043067,0.012524,0.028304,0.4000
FAM134C,0.043067,0.012524,0.028304,0.4000
STAT3,0.043067,0.012524,0.028304,0.4000
DNAJC7,0.043067,0.012524,0.028304,0.4000
GHDC,0.043067,0.012524,0.028304,0.4000
